Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction,Price_per_m2,PriceCategory,PriceCategoryEncoded
"88 The Woodlands, Castletown, Celbridge, Co. Kildare, W23TD79",325000,3,1,4,74.0,8,53.345406,-6.535312,3123.0,celbridge-kildare,7,Unknown,1987.0,4391.891891891892,Medium-Low,3
"The Lodge, Rathmore, Athboy, Co. Meath, C15PX30",498000,5,3,0,210.0,4,53.646194,-6.877163,4548.0,athboy-meath,10,"Newly Refurbished, New Kitchen with double pantry Unit, Quartz countertops, Newly Rewired , New Condensing Oil Boiler , Substantial detached garage with newly fitted roller door, Large Boot room off the kitchen , Access from the Dining Room to enclosed patio Area , All new Bathrooms ,with Main bathroom having free standing bath and separate shower unit, Set on large site with gardens to the front and rear",1979.0,2371.4285714285716,Medium-High,1
"34 Lanesborough Crescent, D11P657",350000,3,3,5,146.0,5,53.405138,-6.300454,4262.0,finglas-dublin,0,"Attic stairs, South facing balcony, Underfloor heating electric element, New kitchen with island, Fully tiled downstairs through out, Tiled scirtting riser with chrome trim finish throughout downstairs, Downstairs bathroom, En-suite bathroom",2004.0,2397.2602739726026,Medium,2
"29 Lambourne Wood, Brennanstown Road, Cabinteely, Dublin 18, D18K6C8",1295000,4,4,0,186.0,5,53.257017,-6.15418,2175.0,cabinteely-dublin,0,"Superb four bed B-rated detached family home located in much sought after development., Tastefully appointed with light-filled interiors extending to c. 186 sq.m/2,002 sq.ft., Converted attic space of c. 42 sq.m./452 sq.ft., Extended and upgraded in recent years to an extremely high standard., Double glazed windows and gas fired central heating., Security alarm system., Quality doors, floors, and cabinetry., Direct access to Cabinteely Park from the development., Landscaped private sunny south facing rear garden with mature trees, shrubbery and hedging., Fitted curtains, blinds, light fittings and kitchen appliances are included in the sale.",2003.0,6962.365591397849,High,0
"Ard Na Mara, Furkeal, Glengarriff, Bantry, Adrigole, Co. Cork, P75P897",265000,1,1,0,90.0,10,51.72971,-9.557687,7924.0,adrigole-cork,1,"Very quiet area 5 min drive from Glengarriff, 20 min from Bantry, All building permissions and permission of retention available, New septic tank and wastewater treatment system, PVC double glazed windows and doors, Interesting garden on 1/2 acre",1890.0,2944.4444444444443,Medium-Low,3
"6 Saint Conleths Terrace, Edenderry, Co. Offaly, R45ED83",199000,3,1,4,91.0,14,53.347636,-7.054106,2747.0,edenderry-offaly,21,Unknown,1940.0,2186.813186813187,Low,4
"Apartment 22, Castlehill House, Castlehill, Kilkenny, Co. Kilkenny, R95YA84",245000,2,1,8,71.0,6,52.642653,-7.231394,3444.0,kilkenny-kilkenny,15,"LOCATION LOCATION LOCATION , SPACIOUS BRIGHT LIGHT FILLED APARTMENT , SECURE UNDERGROUND CAR PARK, BEAUTIFUL VIEWS OF THE RIVER NORE , ONLY A STONES THROW FROM KILKENNY CITY CENTRE , C1 ENERGY RATING",2006.0,3450.7042253521126,Low,4
"5 Pearse Terrace, Wexford Road, Arklow, Co Wicklow, Y14YN36",225000,2,1,5,71.0,13,52.792516,-6.164012,1647.0,arklow-wicklow,4,"Features:, Great location on Wexford Road, a walk to all amenities., Bright spacious rooms., Back garden with a garage /workshop and rear lane access., Oil fired central heating and solid fuel central heating with back boiler., Minutes’ walk to schools, shops, commuter bus and train service, supermarkets and local amenities., Services:, Oil fired central heating and back boiler, Mains Water, Sewage and Electricity., Telephone, Broadband & Satellite are all available in the area., Directions:",1930.0,3169.0140845070423,Low,4
"Apartment 11 , Ashbrook Crescent, Clonmacken, Co. Limerick, V94H6V3",230000,2,2,8,67.0,9,52.665985,-8.660801,3159.0,clonmacken-limerick,12,"Location Location , Just a short walk to all local amenities including national school, church, shops, pubs etc., Attention First Time Buyer & Investors , 2 Bedrooms , Never Rented , Mature Estate ",1995.0,3432.8358208955224,Low,4
"Rocksborough South, Ballinrobe, Hollymount, Co. Mayo, F31PX62",459000,3,3,6,230.0,5,53.658822,-9.212338,1143.0,hollymount-mayo,6,Stunning Three-Bedroom Detached Bungalow on generous 1.7 Acres,2004.0,1995.6521739130435,Medium-High,1
"6 Da-Vinci Avenue, Norwood, Waterford City Centre, X91W7D7",225000,3,1,6,64.0,9,52.255414,-7.140172,3363.0,Unknown,11,"Off street parking, Gas central heating, Side access, PVC windows and doors, Fitted kitchen, Mix of tiled and wooden flooring, Excellent condition",1986.0,3515.625,Low,4
"Rossmore, Kilbarry, Macroom, Co. Cork, P12E522",350000,5,3,6,223.0,7,51.851827,-9.098924,3016.0,macroom-cork,1,"situated on 1 acre site, Qualifies for the vacant home grant , Basement underneath the residence , Only 2 kilometers from the village of Inchigeelagh ",2007.0,1569.506726457399,Medium,2
"33 Lintown Drive, Lintown Hall, Kilkenny, Co. Kilkenny, R95A6C0",255000,3,3,5,93.0,6,52.661793,-7.235725,2160.0,kilkenny-kilkenny,15,"The property is very well presented for sale , Ideal first time buyer or investment property",2001.0,2741.935483870968,Medium-Low,3
"Newtownlynch, Kinvara, Co. Galway, H91RRA0",495000,3,3,0,251.0,5,53.166727,-9.009289,1858.0,kinvara-galway,3,"Magnificent detached 3-bedroom house with stunning sea views, Located on the Wild Atlantic Way, Located 5 miles from Kinvara village, Situated on 0.51 Acre Site, Qualifies for Green Mortgage, Double Garage",1999.0,1972.1115537848605,Medium-High,1
"Donegal Road, Ballybofey, Co. Donegal, F93D40E",249950,3,2,6,126.0,7,54.793188,-7.801227,1492.0,ballybofey-donegal,5,"Refurbished Home, Basement Gargage, New roof, New bathroom and en-suite fit out",1986.0,1983.7301587301588,Low,4
"35 Mount Alton, Knocklyon, Dublin 16, D16A2Y3",550000,2,1,6,108.0,11,53.284688,-6.322078,1318.0,knocklyon-dublin,0,Unknown,1974.0,5092.592592592592,Medium-High,1
"Apartment 16C, Forest Park, Killygordon, Co. Donegal, F93DR72",96000,2,2,8,67.0,7,54.797459,-7.687453,1661.0,killygordon-donegal,5,Unknown,2005.0,1432.8358208955224,Low,4
"Limerick Road, Ennis, Ennis, Co. Clare, V95D6EK",375000,4,2,0,161.0,9,52.830611,-8.980195,4158.0,ennis-clare,8,"3 Reception rooms, 4 bedrooms, Residential & commercial potential, 1.5 kms from Ennis Town Centre, South facing site of 0.11 hectares (0.27 acres)",1969.0,2329.192546583851,Medium,2
"26 Newberry Grove, Dromahane, Dromahane, Co. Cork, P51Y7PA",215000,2,1,5,79.0,6,52.110109,-8.688216,1253.0,dromahane-cork,1,"Excellent location offering an easy commute to Cork City Centre/Limerick , South westerly facing enclosed rear garden which is not overlooked , Driveway to the front with ample parking within the estate , Turn key condition , Ideal for first time buyer or those wishing to downsize ",2003.0,2721.518987341772,Low,4
"Apartment 63, Fishermans Quay, Grove Island, Corbally, Co. Limerick, V94FF80",185000,2,2,1,72.0,7,52.668324,-8.617111,3073.0,corbally-limerick,12,"Located in One Of Limerick City's Most Popular Historic Areas, In Close Proximity To A Host Of Services & Amenities Including Grove Island, Bathroom Located On Ground Floor, Previously Registered Rent €850 Set in July 2017, Service Charge €1400 If Paid In Advance or €1600 PA Thereafter, Permit Parking One Allocated Space, Walkthrough And Virtual Tour Available, Viewing Highly Recommended & By Appointment Only",2003.0,2569.4444444444443,Low,4
"8 Little Meadow, Pottery Road, Dun Laoghaire, Co. Dublin, A96W540",750000,4,2,5,129.0,10,53.269368,-6.151727,1821.0,dun-laoghaire-dublin,0,Unknown,1970.0,5813.953488372093,High,0
"19 Saint Teresa Place, D09F8W6, Glasnevin, Dublin 11, D09F8W6",550000,2,1,5,67.0,8,53.368627,-6.271016,2404.0,glasnevin-dublin,0,"Stunning 2 bedroom brick front period property, Superb residential architectural, conservation area, Stylish parallel fully fitted kitchen, Extended reception room to rear, Sunny south facing rear garden, Energy efficient C3 rating for a property of this age, Original hardwood doors and bass door knobs, Gas fired radiator central heating, Outside utility room, 200m from the National Botanic Gardens",1900.0,8208.955223880597,Medium-High,1
"34 Dean Cavanagh Place, Kilkenny, Co. Kilkenny, R95CTN3",325000,3,1,4,103.0,7,52.646908,-7.264116,1970.0,kilkenny-kilkenny,15,"THINK LOCATION ON THIS PROPERTY , THINK OPPORTUNITY ON THIS PROPERTY , THINK POTENTIAL ON THIS PROPERTY, CLOSE TO KILKENNY CITY CENTRE AND ALL THE CITIES AMENITIES, HIGH DESIRABLE AND ESTABLISHED LOCATION, WALKING DISTANCE TO KILKENNY CITY CENTRE",1964.0,3155.339805825243,Medium-Low,3
"'Lough Cottage', Lough, Duncormick, Duncormick, Co. Wexford, Y35V5X0",375000,2,1,0,81.0,9,52.223241,-6.684119,1626.0,duncormick-wexford,2,"2-Bedroom refurbished Country Cottage., Panoramic unobstructed Sea, River and Island Views, C 0.6 acres of mature grounds with lawns, shrubs and trees., Solid block Workshop with metal roof., Rear south facing patio area with stunning Views., C 1 mile drive to Duncormick village with traditional Pub., C 5 minutes to Cullenstown Strand, Carrig-on-Bannow and Wellingtonbridge just a 10 minute drive., Kilmore Quay fishing village less than 15 minutes drive., Wexford Town only c 25 min and Rosslare Europort c 35 minutes away.",1900.0,4629.62962962963,Medium,2
"Apt 1 Gregg Court, Kilmeague, Co. Kildare, W91CH28",140000,1,1,8,43.0,8,53.251104,-6.839172,2106.0,allen-kildare,7,"BER: C3, Built: c. 2006, Floor area 43.1 sq. m. (464 sq. ft.), Ground floor apartment, Electric heating, Beautiful decorative order, Included: carpets, curtains, blinds and light fittings, kitchen appliances, Dual aspect, All mains services, Management Company In Place: Fees approx. €1,070 per annum",2005.0,3255.813953488372,Low,4
"30 Joy Street, Ringsend, Dublin 4, D04YY71",435000,2,1,5,49.0,9,53.340629,-6.234278,2943.0,ringsend-dublin,0,"Convenient and popular location, Approx 49 sq.m., Westerly facing rear courtyard, Gas fired radiator central heating, Double glazed windows , Modern tiled bathroom, No onward chain, Close to Grand Canal Dock DART station, BER: D1 and BER No: 111137717",1920.0,8877.551020408164,Medium,2
"Dursey, Ballincollie Road, Dublin Pike, Co. Cork, T23X638",795000,4,5,0,382.0,5,51.928922,-8.457472,5077.0,dublin-pike-cork,1,"Automated electric gates., Impressive 5 bath 4 bed property of C. 382 m2 on C. 0.4 acres., Detached garage / gymnasium., Kennels., Games room with substantial storage space., B Rated home - Eligible for green interest rate mortgage., Heat recovery system & solar panels.",2012.0,2081.151832460733,High,0
"62 Northbrook Avenue, Ranelagh, Dublin 6, D06Y564",750000,3,2,3,100.0,11,53.326782,-6.253152,5566.0,ranelagh-dublin,0,Unknown,1984.0,7500.0,High,0
"154 Elm Park, Wilton, Wilton, Co. Cork, T12WVE4",180000,2,1,5,55.0,7,51.871522,-8.503743,6507.0,wilton-cork,1,"Spacious two bedroom Mid Terrace property., Situated in Elm Park off Sarsfield Road in the much sought after suburb of Wilton close to Wilton Shopping centre, Cork University Hospital and St. Fi, Easy access to Cork city centre and N40 road network., Private parking., Electric heating and solid fuel fireplace.",1985.0,3272.7272727272725,Low,4
"7 Saint John's, Sandymount, Dublin 4, D04Y7Y8",785000,4,3,5,120.0,8,53.324185,-6.212797,4230.0,sandymount-dublin,0,"Spacious four-bedroom mid terraced property, Presented in original condition , Ideally located in this much sought after development off Park Avenue , Off street parking , Private sunny rear garden with pedestrian rear access, Total floor area c. 120 sq. m.",1987.0,6541.666666666667,High,0
"36 Kilgobbin Heights, Stepaside, Dublin 18, D18X2R6",895000,4,3,0,150.0,10,53.254772,-6.211582,2011.0,stepaside-dublin,0,Unknown,1965.0,5966.666666666667,High,0
"15 Cluain Cregg, Carrick-on-Suir, Co. Tipperary, E32W242",495000,4,3,0,202.0,5,52.350892,-7.404829,3180.0,carrick-on-suir-tipperary,13,"Exceptional house, Very sought after location, Rare opportunity, 4 bedroom detached ",2008.0,2450.4950495049507,Medium-High,1
"Apartment 100, Killegland Hall, Ashbourne, Co. Meath, A84HX54",225000,2,2,8,78.0,3,53.510977,-6.401479,2688.0,ashbourne-meath,10,"c.78 Sq.m / 840 Sq.ft, Year of construction 2006, 2 Bed, Master bedroom with ensuite, Spacious layout, Close to all local amenities, Easy access to public transport, Prime location ",2006.0,2884.6153846153848,Low,4
"Bedford, Listowel, Co. Kerry, V31VW56",180000,3,2,0,176.0,5,52.462122,-9.491385,2117.0,listowel-kerry,9,Unknown,2024.0,1022.7272727272727,Low,4
"2 Abbey Terrace, Arklow, Co. Wicklow, Y14A026",210000,2,1,5,77.0,10,52.793942,-6.155911,1663.0,arklow-wicklow,4,"Superb location to all town amenities, Minutes to railway station and bus service, Close to all supermarkets, and schools",1935.0,2727.2727272727275,Low,4
"Apartment 9, Hazelbrook, Terenure, Dublin 6W, D6WYK49",295000,1,1,8,44.0,12,53.311455,-6.292252,3064.0,terenure-dublin,0,"Excellent location in quiet development, Private, west-facing balcony , Endless supply of public transport options, GFCH",1984.0,6704.545454545455,Medium-Low,3
"77 Castledawson, Sion Hill, Blackrock, Co. Dublin, Blackrock, Co. Dublin, A94WP93",835000,4,2,1,116.0,8,53.303897,-6.187006,2369.0,blackrock-dublin,0,"Owner occupied 4 bedroom duplex., Walk in condition., Private secure development., Walking distance to Dart and Blackrock village., Park and sea views in the distance., Private west facing balcony., Lovely communal gardens., Communal parking., Electric Heating., Service Charge: €2,200 per annum.",1994.0,7198.275862068966,High,0
"15 Main Street, Carrignavar, Carrignavar, Co. Cork, T34NP59",250000,3,2,4,122.0,9,51.989078,-8.477722,1786.0,carrignavar-cork,1,"Alarm System, PVC windows throughout",1920.0,2049.1803278688526,Low,4
"Saint Kevins, Lower Road, D18 Y2R7, Ireland, Shankill, Dublin 18, D18Y2R7",365000,2,1,4,81.0,12,53.23145,-6.124344,3589.0,shankill-dublin,0,"Super Convenient Location, Minutes Walk From All Amenities & Services, Accommodation Extending to 81 square metres",1940.0,4506.172839506173,Medium,2
"Rock Lodge, Flower Hill, Navan, Co. Meath, C15HE17",850000,5,2,0,357.0,14,53.658389,-6.679343,1753.0,navan-meath,10,"Substantial detached Victorian style property within walking distance of Navan town centre, Situated on a large site with obvious development potential, Own door apartment to the side with immediate income, Detached stone built mews/office space to the rear, Lots of secure car parking space garden and tennis court at the rear, Great family home with large garden and tennis court, Many original features intact high ceilings sash windows antique fireplaces, Within walking distance of all amenities and facilities, Oil fired central heating, Suitable for family living or investment with large income potential",1890.0,2380.9523809523807,High,0
"42 The Grove, Pheasant Run, Dublin 15, D15V3A8",450000,3,3,4,107.0,5,53.405896,-6.416548,1789.0,Unknown,11,Unknown,2004.0,4205.607476635514,Medium,2
"9 The Walk, Semple Woods, Donabate, Co. Dublin, K36C522",525000,3,3,3,116.0,1,53.482348,-6.154154,2604.0,donabate-dublin,0,"Double Fronted Brick Home, Engineered Wood Flooring, Feature Electric Fireplace, Large West Facing Rear Garden, Owner Occupied, Air to Water Heating System, A rated House, Double Glazed Windows, Master Bedroom En-suite, Guest Toilet with Storage Room",2019.0,4525.862068965517,Medium-High,1
"30a Packenham, Sloperton, Monkstown, Co. Dublin, A96T6Y7",295000,1,1,8,33.0,9,53.293512,-6.146466,2958.0,monkstown-dublin,0,"One bed apartment on third floor, Established and popular development off the Slopes in Monkstown, Management Fee: €1369pa, Ample disc parking and visitor parking area, Close to Monkstown and Blackrock villages, DART, seafront, shops, Electric storage heating",1985.0,8939.39393939394,Medium-Low,3
"Clonervy, Poles, H12NP04",500000,4,5,0,440.0,4,54.002325,-7.287711,3739.0,cavan-cavan,20,"Quality Residence - constructed c. 2006, Exceptional level of finish, Oak timberwork throughout, High Quality fixtures & fittings, Integrated double garage, Mature Site and boundary, Highly accessible to the N3 - 2 km, Oil fired central heating, Serviced by Private Well, Accommodation comprises entrance porch that opens into a large hall, creating an inviting and spacious entryway to what is a superior family home. To",2006.0,1136.3636363636363,Medium-High,1
"77 Raheen Close, Tallaght, Dublin 24, D24W3W5",300000,3,1,5,93.0,8,53.283032,-6.38974,1186.0,tallaght-dublin,0,"Off Street Parking, Excellent BER C3, Spacious Back Garden, Convenient Location",1973.0,3225.8064516129034,Medium-Low,3
"8 Nutley Square, Greenfield Park, Donnybrook, Dublin 4, D04H7R7",745000,4,3,3,107.0,8,53.312737,-6.227503,3319.0,dublin-4-dublin,0,"Superb 4 bedroom end of terrace property, Spacious accommodation, Master bedroom ensuite, Conservatory, Extra wide gated side passage, Potential to extend to the side or rear (stpp), Off street parking to the front for 2 cars, Visitor parking in the courtyard, Large, low maintenance paved rear garden, Close to excellent shopping & recreational facilities",1986.0,6962.616822429906,High,0
"1 Coogans Cottage Kilmolin Enniskerry, Enniskerry, Co. Wicklow, A98AW26",795000,4,3,0,197.0,7,53.195892,-6.194369,5226.0,enniskerry-wicklow,4,Unknown,1890.0,4035.532994923858,High,0
"29 Castletimon Avenue, Killmore, Dublin 5, D05XE71",375000,3,1,5,91.0,10,53.39491,-6.228835,1769.0,Unknown,11,"Lovingly maintained family home, Extended kitchen and wet room to rear, Modern gas boiler, Double glazed UPVC windows throughout, Large sunny west facing garden, Shared side pedestrian access with neighbour to rear garden, Large paved driveway for ample off streetcar parking, Within a short stroll of Northside Shopping Centre & Beaumont Hospital, Numerous buses to the city centre close by, Within a short drive of M1 M50 & Airport motorways",1969.0,4120.879120879121,Medium,2
"Glenshee, Lower Road, Strawberry Beds, Dublin 20, D20XV66",795000,5,0,0,245.0,12,53.36374,-6.407133,3520.0,Unknown,11,"Picturesque location, Equal distances between Castleknock and Lucan, 5-6 bedrooms, Located in a green belt, Garage, Mature gardens and trees, Off-street parking for 4-5 cars",1972.0,3244.8979591836733,High,0
"50 Swiftbrook Glen,, Virginia,, Co.Cavan, A82XY51",399995,5,3,0,156.0,6,53.839849,-7.098448,2544.0,coppanagh-cavan,20,"Detached Residence, Desirable Estate of Swiftbrook Glen, Additional storage / home office space, Spacious garden, 5 Bedrooms (2 En-Suite), C1 Energy Rated, New Composite Front Door, Stira Access, Attic Partially floored",2004.0,2564.0705128205127,Medium,2
"27 Saint Mary's Park, Navan, Navan, Co. Meath, C15T9F8",245000,2,1,6,62.0,10,53.661072,-6.678949,2048.0,navan-meath,10,"Two bedroom semi-detached bungalow., Situated on a corner site overlooking a green area., Two double bedrooms., Large rear garden with storage shed., Located within walking distance of local amenities.",1949.0,3951.6129032258063,Low,4
"5 Abbey Lane, Kinsale, Co. Cork, P17H981",425000,3,1,4,81.0,7,51.70616,-8.527736,5338.0,kinsale-cork,1,Unknown,1990.0,5246.913580246914,Medium,2
"87 Rampart View,, Virginia, Co.Cavan, A82C7W9",345000,4,4,4,174.0,1,53.838681,-7.080895,2853.0,virginia-cavan,20,"Immaculate Turn key condition Residence, Semi - Detached and set over three floors, 4 bedrooms (2 En-Suite), Modern Kitchen with Quartz Worktops and kitchen island, A2 Energy Rated - Eligible for Green Mortgage, Low maintenance rear garden, Fully alarmed, Walking distance to the town of Virginia, Underfloor Heating, Heat Recovery System",2018.0,1982.7586206896551,Medium-Low,3
"54 Cooley Road, Dublin 12, Drimnagh, Dublin 12, D12CK25",395000,2,1,4,68.0,9,53.327729,-6.318944,2122.0,drimnagh-dublin,0,"Ample room to extend s.p.p, Bespoke stain glass door, Pedestrian side access ",1940.0,5808.823529411765,Medium,2
"28 The Shore, Marina Village, Greystones, Co. Wicklow, A63Y720",1450000,4,3,0,226.0,1,53.154496,-6.072368,3183.0,greystones-wicklow,4,"South-west facing rear, 4/5-bedroom detached home, Highly energy efficient A rated BER, Stunning uninterrupted sea views, 10-minute walk to Greystones town & dart, Off street car parking, 9 ft high ceilings throughout ground floor, East facing balcony enjoying stunning sea views, Electric car charger, Glorious mountain views",2020.0,6415.929203539823,High,0
"Corragh Bunclody, Bunclody, Co. Wexford, Y21AY94",775000,5,4,0,231.0,8,52.677128,-6.61782,2538.0,bunclody-wexford,2,Unknown,2001.0,3354.978354978355,High,0
"An Scoil Bega, Killeen, Kylebrack, Loughrea, Co. Galway, H62DE26",225000,2,2,0,103.0,14,53.160172,-8.486038,4452.0,loughrea-galway,3,"Approx. 0.56 Acre Site, Extends to approx. 1 109 sq.ft, Water - Local Group Scheme, Sanitation - Via Septic Tank System, Currently running as a preschool/creche - Can be sold as a going concern, O.F.C.H, PVC windows and doors, Located beside local national school",1900.0,2184.4660194174758,Low,4
"Upton, Kilmuckridge, Co. Wexford, Y25ED23",325000,3,1,0,132.0,10,52.514355,-6.269136,2173.0,kilmuckridge-wexford,2,"Excellent Location                 , Wonderful coastal setting, Close to Morriscastle Beach, Close to Kilmuckridge Village amenities  , 1Hr 10min from South Dublin/M50, Detached Garage",1968.0,2462.121212121212,Medium-Low,3
"4 Parklyn, Brockelsby Street, Blackpool, Co. Cork, T23W263",275000,4,2,4,120.0,7,51.911716,-8.474584,2376.0,blackpool-cork,1,"Approx. 120 Sq. M. / 1,292 Sq. Ft., Built in 1998, BER C2 / Gas fired central heating / Double glazed windows, Spacious accommodation throughout, Four bedrooms, Enclosed, peaceful west facing yard which is maintenance free, Side gate access to rear yard, Private gated car park to rear of property, Excellent location close to Apple Ireland HQ, Blackpool Commercial Park, Blackpool Shopping Centre, Less than 10 minutes’ drive to Cork city centre",1997.0,2291.6666666666665,Medium-Low,3
"175 Malahide Marina, Malahide, Co. Dublin, K36W104",550000,2,2,8,73.0,4,53.455749,-6.154135,2709.0,malahide-dublin,0,"Very spacious 2 bedroom apartment, Stunning views acsoss the picturesque Marina, Large private Balcony overlooking Marina, Prestigious setting in Village Centre, Just a stroll ( 2 Minutes ) from Dart Station, Gas fired central heating, Superb fitted kitchen, Quality Neff Appliances, Beautifully tiled Chic style Bathroom and EnSuite, Maple floor in Lounge / Dining Room",1994.0,7534.246575342466,Medium-High,1
"13 William Street, Nenagh, Co. Tipperary, E45HX25",99500,3,1,5,86.0,14,52.862334,-8.203875,5038.0,nenagh-tipperary,13,"Mains water & sewerage, 86 sq m",1960.0,1156.9767441860465,Low,4
"3 Rochfort Manor, Leighlin Road, Carlow, R93W9E8",365000,4,3,0,200.0,8,52.8312071,-6.941529,4390.0,Unknown,11,Unknown,2002.0,1825.0,Medium,2
"Adamstown, Ballinhassig, Co. Cork, T12DWF4",425000,3,3,6,135.0,8,51.816823,-8.495714,3922.0,ballinhassig-cork,1,"**e50,000 Vacant Property Refurbishment Grant**, Beautiful 3-bedroom detached home, Approx.  135 sq m / 1453 sq ft, Situated on approx. 0.6 acres / 0.24 ha, Double Garage approx. 52 sq m / 570 sq ft, Commanding southern country views, Superbly maintained family home, Tarmac &amp; private gated, OFCH / Fibre Broadband in area, Cork city 10km, Kinsale Town 14km",1995.0,3148.1481481481483,Medium,2
"27 Leitrim Marina, Leitrim Village, Leitrim, Co. Leitrim, N41Y268",180000,2,2,8,97.0,7,53.988852,-8.066506,2169.0,leitrim-leitrim,24,Unknown,2005.0,1855.6701030927834,Low,4
"29 Beech Park, Viewmount Park, Waterford City, Co. Waterford, X91TPP8",360000,4,2,4,135.0,10,52.243582,-7.080904,2286.0,waterford-city,14,"FEATURES, Large corner site, Overlooking large green, PVC double glazed windows, Cul de sac",1977.0,2666.6666666666665,Medium,2
"Castleville, 12 Sandymount Green, Sandymount, Dublin 4, D04C6Y7",3950000,4,5,4,366.0,4,53.331701,-6.214396,8594.0,sandymount-dublin,0,"Underfloor heating throughout the ground floor, Rhatigan & Hick handcrafted kitchen, Double height Library designed and installed by Bavari, Enclosed Landscaped 100 ft garden by Formality Gardens and Aspect Garden Construction, Internal Heat recovery system, Solar panel heating water, South Facing Aspect, Highest quality brassware, bath & shower controls, shower heads & sanitary ware throughout., All bathrooms feature heated towel rails, vanity units & integrated lighting., SECURITY FEATURES",1888.0,10792.349726775956,High,0
"10 Castle Street, Wicklow Town, County Wicklow, A67RP23",260000,2,1,3,48.0,14,52.979492,-6.035124,2466.0,wicklow-town-wicklow,4,Unknown,1899.0,5416.666666666667,Medium-Low,3
"3 Dargle View Terrace, Lower Dargle Road, A98E6R9",335000,3,1,5,88.0,12,53.205457,-6.112248,3440.0,bray-wicklow,4,"Gas-fired central heating, Two block-built storage sheds, Convenient on-street parking directly in front of the property, 900m from Bray Beach, 800m to Bray DART station, 50m from People's Park, 200m to Bray Main street, 300m from the Castle Street bus stop, offering convenient access to several bus routes (84, 45a, 145 & 155)",1920.0,3806.818181818182,Medium-Low,3
"Apartment 34, De Vesci House, Longford Place, Monkstown, Co. Dublin, A96VX53",475000,2,0,8,64.0,6,53.294824,-6.147615,2064.0,monkstown-dublin,0,"Two bedroom third floor apartment, Lift access, South West facing, One designated parking space, Electric security gates, Close to Monkstown Village, Adjacent to DART station, Electric heating",1999.0,7421.875,Medium-High,1
"38 Kinvara Road, Navan Road (D7), Dublin 7, D07Y622",550000,3,1,5,106.0,12,53.370247,-6.31968,1983.0,navan-road-d7-dublin,0,Unknown,1960.0,5188.679245283019,Medium-High,1
"150 Knockaphunta Park, Castlebar, Castlebar, Co. Mayo, F23FP52",330000,4,3,0,160.0,9,53.83997,-9.322129,2292.0,castlebar-mayo,6,"Superior 4 Bedroom & 3 Bathroom Dormer Residence , Maintained & Presented in Excellent Condition, Many Additional Features, Master Bedroom with Ensuite on Ground floor , Mature Gardens at Front and Rear, Located Within 2 Km of Castlebar Town Centre, Popular, Family Friendly & Mature Residential Location, Viewing Highly Recommended (strictly by prior appointment)",2000.0,2062.5,Medium-Low,3
"69 Avondale Road Killiney, Killiney, Co. Dublin, A96NH39",995000,4,2,0,125.0,10,53.271267,-6.128224,1789.0,killiney-dublin,0,"An attractive dormer detached bungalow of approximately 125sq.m (1,345sq.ft), Potential to extend, subject to planning permission, Off street parking and a garage measuring 2.85m x 4.85m (9'4"" x 15'11""), Well-proportioned light filled accommodation, Gas fired central heating system Â– boiler last replaced December 2017, Rewired in 2002, Blinds and kitchen appliances included in the sale, Private south-east facing rear garden of approximately 34m (112ft) in length, Scope to convert the garage and or extend subject to planning permission, Strolling distance to Glenageary DART, Barnhill Stores, Dalkey Heritage Town and Glasthule/Sandycove",1965.0,7960.0,High,0
"22 Frenchpark, Oranmore, Co. Galway, H91E952",290000,3,1,8,99.0,5,53.269167,-8.919512,2153.0,oranmore-galway,3,"Excellent location, Recently upgraded, Modern, high quality finishes, Presented beautifully, Gas central heating",2003.0,2929.2929292929293,Medium-Low,3
"Raheen Beg, Killenagh, Co. Wexford, Y25T447",329000,3,2,0,123.0,5,52.589232,-6.279057,2907.0,killenagh-wexford,2,"Excellent rural/coastal location         , 5 Km to the Beach, Close to Ballygarrett & Ballycanew Village amenities, 1Hr 10min  Hour from South Dublin/M50  , C. 0.35 acre site",1979.0,2674.79674796748,Medium-Low,3
"Apartment 117 , Galloping Green, Stillorgan Road, Galloping Green, Co. Dublin, A94YY75",695000,3,3,8,130.0,8,53.279492,-6.186444,1764.0,galloping-green-dublin,0,"Two Balconies with Exceptional Views   , Two Designated Parking Places, Clever Layout - Bright Accommodation & Maximum Balcony Access, Excellent Location ",1998.0,5346.153846153846,High,0
"78 Hillview Estate, Ballinteer, Dublin 16, D16RC91",375000,3,1,3,76.0,11,53.283971,-6.260068,6204.0,ballinteer-dublin,0,"Well-cared-for three-bedroom end-terrace house needing modernisation, Large garden to side offering potential for extension, subject to planning, Quiet cul-de-sac setting with a private, sunny rear garden, Approx. 75 sq m / 815 sq ft of accommodation, Excellent transport links: LUAS, bus routes, and M50",1970.0,4934.210526315789,Medium,2
"10 The Waxworks Building, Ashtown, Dublin 15, D15KX29",365000,2,2,8,76.0,5,53.375861,-6.332556,6408.0,ashtown-dublin,0,"Truly stunning apartment with west facing balcony, This is a highly sought after private residential development located in Rathborne village., One minute walk to train station and royal canal walkway., Floor to ceiling windows providing an abundance of natural light, Efficient B3 energy rating, Dedicated underground parking space",2006.0,4802.631578947368,Medium,2
